audit_name,settings,operator,map,remediation
2.3.17.3 (L1) Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests' (Automated),Automatically deny elevation requests,==,"{""0"":""Automatically deny elevation requests"",""1"":""Prompt for credentials on the secure desktop"",""2"":""Prompt for consent on the secure desktop"",""3"":""Prompt for credentials"",""4"":""Prompt for consent"",""5"":""Prompt for consent for non-Windows binaries""}","To establish the recommended configuration via GP, set the following UI path to Automatically deny elevation requests: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Behavior of the elevation prompt for standard users"
2.3.17.4 (L1) Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled' (Automated),Enabled,==,"{""0"": ""Disabled"", ""1"": ""Enabled""}","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Detect application installations and prompt for elevation"
2.3.17.5 (L1) Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled' (Automated),Enabled,==,"{""0"": ""Disabled"", ""1"": ""Enabled""}","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Only elevate UIAccess applications that are installed in secure locations"
2.3.17.6 (L1) Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled' (Automated),Enabled,==,"{""0"": ""Disabled"", ""1"": ""Enabled""}","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Run all administrators in Admin Approval Mode"
2.3.17.7 (L1) Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled' (Automated),Enabled,==,"{""0"": ""Disabled"", ""1"": ""Enabled""}","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Switch to the secure desktop when prompting for elevation"
2.3.17.8 (L1) Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated),Enabled,==,"{""0"": ""Disabled"", ""1"": ""Enabled""}","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\User Account Control: Virtualize file and registry write failures to per-user locations"
5.1 (L2) Ensure 'Bluetooth Audio Gateway Service (BTAGService)' is set to 'Disabled',Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled: Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Bluetooth Audio Gateway Service"
5.2 (L2) Ensure 'Bluetooth Support Service (bthserv)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Bluetooth Support Service"
5.3 (L1) Ensure 'Computer Browser (Browser)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Computer Browser"
5.4 (L2) Ensure 'Downloaded Maps Manager (MapsBroker)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Downloaded Maps Manager"
5.5 (L2) Ensure 'Geolocation Service (lfsvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Geolocation Service"
5.6 (L1) Ensure 'IIS Admin Service (IISADMIN)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\IIS Admin Service"
5.7 (L1) Ensure 'Infrared monitor service (irmon)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Infrared monitor service"
5.8 (L1) Ensure 'Internet Connection Sharing (ICS) (SharedAccess)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Internet Connection Sharing (ICS)"
5.9 (L2) Ensure 'Link-Layer Topology Discovery Mapper (lltdsvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Link-Layer Topology Discovery Mapper"
5.10 (L1) Ensure 'LxssManager (LxssManager)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\LxssManager"
5.11 (L1) Ensure 'Microsoft FTP Service (FTPSVC)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Microsoft FTP Service"
5.12 (L2) Ensure 'Microsoft iSCSI Initiator Service (MSiSCSI)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Microsoft iSCSI Initiator Service"
5.13 (L1) Ensure 'OpenSSH SSH Server (sshd)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\OpenSSH SSH Server"
5.14 (L2) Ensure 'Peer Name Resolution Protocol (PNRPsvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Peer Name Resolution Protocol"
5.15 (L2) Ensure 'Peer Networking Grouping (p2psvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Peer Networking Grouping"
5.16 (L2) Ensure 'Peer Networking Identity Manager (p2pimsvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Peer Networking Identity Manager"
5.17 (L2) Ensure 'PNRP Machine Name Publication Service (PNRPAutoReg)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\PNRP Machine Name Publication Service"
5.18 (L2) Ensure 'Print Spooler (Spooler)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled: Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Print Spooler"
5.19 (L2) Ensure 'Problem Reports and Solutions Control Panel Support (wercplsupport)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Problem Reports and Solutions Control Panel Support"
5.20 (L2) Ensure 'Remote Access Auto Connection Manager (RasAuto)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Access Auto Connection Manager"
5.21 (L2) Ensure 'Remote Desktop Configuration (SessionEnv)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Desktop Configuration"
5.22 (L2) Ensure 'Remote Desktop Services (TermService)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Desktop Services"
5.23 (L2) Ensure 'Remote Desktop Services UserMode Port Redirector (UmRdpService)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Desktop Services UserMode Port Redirector"
5.24 (L1) Ensure 'Remote Procedure Call (RPC) Locator (RpcLocator)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Procedure Call (RPC) Locator"
5.25 (L2) Ensure 'Remote Registry (RemoteRegistry)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Remote Registry"
5.26 (L1) Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Routing and Remote Access"
5.27 (L2) Ensure 'Server (LanmanServer)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Server"
5.28 (L1) Ensure 'Simple TCP/IP Services (simptcp)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Simple TCP/IP Services"
5.29 (L2) Ensure 'SNMP Service (SNMP)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\SNMP Service"
5.30 (L1) Ensure 'Special Administration Console Helper (sacsvr)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Special Administration Console Helper"
5.31 (L1) Ensure 'SSDP Discovery (SSDPSRV)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\SSDP Discovery"
5.32 (L1) Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\UPnP Device Host"
5.33 (L1) Ensure 'Web Management Service (WMSvc)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Web Management Service"
5.34 (L2) Ensure 'Windows Error Reporting Service (WerSvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Error Reporting Service"
5.35 (L2) Ensure 'Windows Event Collector (Wecsvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Event Collector"
5.36 (L1) Ensure 'Windows Media Player Network Sharing Service (WMPNetworkSvc)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Media Player Network Sharing Service"
5.37 (L1) Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Mobile Hotspot Service"
5.38 (L2) Ensure 'Windows Push Notifications System Service (WpnService)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Push Notifications System Service"
5.39 (L2) Ensure 'Windows PushToInstall Service (PushToInstall)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows PushToInstall Service (PushToInstall)"
5.40 (L2) Ensure 'Windows Remote Management (WSManagement) (WinRM)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Windows Remote Management (WS-Management)"
5.41 (L1) Ensure 'World Wide Web Publishing Service (W3SVC)' is set to 'Disabled' or 'Not Installed' (Automated),"Disabled,Not Installed",one_of,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot"",""Registry Key Not Found"":""Not Installed""}","To establish the recommended configuration via GP, set the following UI path to: Disabled or ensure the service is not installed. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\World Wide Web Publishing Service"
5.42 (L1) Ensure 'Xbox Accessory Management Service (XboxGipSvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Xbox Accessory Management Service"
5.43 (L1) Ensure 'Xbox Live Auth Manager (XblAuthManager)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Xbox Live Auth Manager"
5.44 (L1) Ensure 'Xbox Live Game Save (XblGameSave)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Xbox Live Game Save"
5.45 (L1) Ensure 'Xbox Live Networking Service (XboxNetApiSvc)' is set to 'Disabled' (Automated),Disabled,==,"{""4"":""Disabled"",""3"":""Manual"",""2"":""Automatic"",""1"":""System"",""0"":""Boot""}","To establish the recommended configuration via GP, set the following UI path to: Disabled. Computer Configuration\Policies\Windows Settings\Security Settings\System Services\Xbox Live Networking Service"
9.2.1 (L1) Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)' (Automated),On (recommended),==,"{""0"": ""Off"", ""1"": ""On (recommended)""}","To establish the recommended configuration via GP, set the following UI path to On (recommended): Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Firewall state"
9.2.2 (L1) Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)' (Automated),Block (default),==,"{""0"": ""Allow"", ""1"": ""Block (default)""}","To establish the recommended configuration via GP, set the following UI path to Block (default): Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Inbound connections"
9.2.3 (L1) Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No' (Automated),No,==,"{""0"": ""Yes"", ""1"": ""No""}","To establish the recommended configuration via GP, set the following UI path to No: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Settings Customize\Display a notification"
9.2.4 (L1) Ensure 'Windows Firewall: Private: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log' (Automated),%SystemRoot%\System32\logfiles\firewall\privatefw.log,only,,"To establish the recommended configuration via GP, set the following UI path to %SystemRoot%\System32\logfiles\firewall\privatefw.log: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Logging Customize\Name"
"9.2.5 (L1) Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",16384,>=,,"To establish the recommended configuration via GP, set the following UI path to 16,384 KB or greater: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Logging Customize\Size limit (KB)"
9.2.6 (L1) Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes' (Automated),Yes,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to Yes: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Logging Customize\Log dropped packets"
9.2.7 (L1) Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes' (Automated),Yes,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to Yes: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Private Profile\Logging Customize\Log successful connections"
9.3.1 (L1) Ensure 'Windows Firewall: Public: Firewall state' is set to 'On (recommended)' (Automated),On (recommended),==,"{""0"": ""Off"", ""1"": ""On (recommended)""}","To establish the recommended configuration via GP, set the following UI path to On (recommended): Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Firewall state"
9.3.2 (L1) Ensure 'Windows Firewall: Public: Inbound connections' is set to 'Block (default)' (Automated),Block (default),==,"{""0"":""Allow"",""1"":""Block (default)""}","To establish the recommended configuration via GP, set the following UI path to Block (default): Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Inbound connections"
9.3.3 (L1) Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No' (Automated),No,==,"{""0"":""Yes"",""1"":""No""}","To establish the recommended configuration via GP, set the following UI path to 'No': Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Settings Customize\Display a notification"
9.3.4 (L1) Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No' (Automated),No,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to No: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Settings Customize\Apply local firewall rules"
9.3.5 (L1) Ensure 'Windows Firewall: Public: Settings: Apply local connection security rules' is set to 'No' (Automated),No,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to No: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Settings Customize\Apply local connection security rules"
9.3.6 (L1) Ensure 'Windows Firewall: Public: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log' (Automated),%SystemRoot%\System32\logfiles\firewall\publicfw.log.,only,,"To establish the recommended configuration via GP, set the following UI path to %SystemRoot%\System32\logfiles\firewall\publicfw.log: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Logging Customize\Name"
"9.3.7 (L1) Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)",16384,>=,,"To establish the recommended configuration via GP, set the following UI path to 16,384 KB or greater: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Logging Customize\Size limit (KB)"
9.3.8 (L1) Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes' (Automated),Yes,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to Yes: Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Logging Customize\Log dropped packets"
9.3.9 (L1) Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes' (Automated),Yes,==,"{""0"":""No"",""1"":""Yes""}","To establish the recommended configuration via GP, set the following UI path to Yes. Computer Configuration\Policies\Windows Settings\Security Settings\Windows Defender Firewall with Advanced Security\Windows Defender Firewall with Advanced Security\Windows Firewall Properties\Public Profile\Logging Customize\Log successful connections"
17.1.1 (L1) Ensure 'Audit Credential Validation' is set to 'Success and Failure' (Automated),Success and Failure,only,,"To establish the recommended configuration via GP, set the following UI path to Success and Failure: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Logon\Audit Credential Validation"
17.2.1 (L1) Ensure 'Audit Application Group Management' is set to 'Success and Failure' (Automated),Success and Failure,only,,"To establish the recommended configuration via GP, set the following UI path to Success and Failure: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Management\Audit Application Group Management"
17.2.2 (L1) Ensure 'Audit Security Group Management' is set to include 'Success' (Automated),Success,only,,"To establish the recommended configuration via GP, set the following UI path to include Success: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Management\Audit Security Group Management"
17.2.3 (L1) Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated),Success and Failure,only,,"To establish the recommended configuration via GP, set the following UI path to Success and Failure: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Account Management\Audit User Account Management"
17.3.1 (L1) Ensure 'Audit PNP Activity' is set to include 'Success' (Automated),"Success,Success and Failure",one_of,,"To establish the recommended configuration via GP, set the following UI path to include Success: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Detailed Tracking\Audit PNP Activity"
17.3.2 (L1) Ensure 'Audit Process Creation' is set to include 'Success' (Automated),"Success,Success and Failure",one_of,,"To establish the recommended configuration via GP, set the following UI path to include Success: Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\Detailed Tracking\Audit Process Creation"
